paragraph,questions
"RINI DEVADAS: We're going to do something quite different in terms of a puzzle.
And while it's a recursive puzzle, it's going to play out to be a recursive solution.
It looks quite different from the N-queens puzzle.
And so this is going to be a tiling puzzle.
And so I set up the puzzle, and then we're going to take a little segue off into a canonical recursive algorithm called merge sort because I think it's good for you to see that algorithm before you dive into solving this particular puzzle because it kind of shows you the way.
All right, and but I'll set up the puzzle.
I guess I didn't have to erase this square.
It's a courtyard that has a bunch-- of tiles.
You're supposed to tile it, and it's all square tiles.
And I'll just make it eight by eight like a chessboard.",the merge sort code shown only works on arrays are a length of a power of 2. Adding another condition for len(L) == 1 in mergeSort that returns a single element array and a 2 element array will take care of the general case. Otherwise you'll get stuck in an endless recursion loop since it can't handle the base case of a 3 element array.
"And this could be 10 levels deep.
It could be 40 levels deep, given that I've called things 40 levels in.
But it's just the one backtracks.
So as you can see, what backtracks does is anytime you have a valid location and you've gone ahead and-- essentially you've failed.
The reason it's out here is solve Sudoku did not return true.
When solved Sudoku actually returns false, that's when you come out and you increment backtracks.
So it meant that you had to do some undoing.
When you set grid IJ to be zero, that's when you're undoing your guess, right? So backtracks makes sense from a standpoint of I need to backtrack and go in a different fork in the road.
And so that's why I have backtracks plus equals one when I'm undoing my decision that I made.
So this kind of gives you a sense for how many wrong guesses that this program did.
And as you can imagine, the more the number of wrong guesses, the more the computation and the longer it takes.
So it is definitely a proxy for performance.
But it's a platform independent proxy that's more algorithm related as opposed to the speed of the computer.
Because if this computer were twice as fast, I mean I'd just see things running faster even though the algorithm isn't any better.
Right? That make sense? So it's a very simple use of global.
You don't want to use global variables except in certain constrained settings.
This is a fine use of global variables.
Cool, good.
So any questions about this code? So what I've done here is I just have the naive code.","Why does solveSudoku take i and j as args but then just overwrite them? I dont think you need those args.
Do there exist sudoku puzzles (specifically, steps of these puzzles) that can only be solved by the ""guess and backtrack"" method?
I've been solving a lot of sudokus lately, and one thing I've noticed that this brute force + implication method doesn't account for is a puzzle with the potential for a ""uniqueness"" problem. It's entirely possible that a sudoku with a unique solution might have a valid position along the way that presents a choice where one option would eventually lead to the correct solution and one (or more) of the other options would lead to a set of solutions where you could swap/rotate certain cells' values and still have a valid position by the algorithm's standards. With this naive approach, I wonder how you could build in a feature that detects uniqueness problems and discounts them from the set of valid positions in the solving path.
Ping Pong Cup Shots: Fair enough, I was mainly asking about whether there are any conditions on how the grid should be initially filled which guarantees your grid to be solvable, rather than having to attempt to solve it explicitly.
When I tried to run these codes on my laptop, the ""better"" solution with fewer backtracks always takes longer time than the unoptimized one. How to explain?
I was just thinking... how does the program handle multiple solutions? Seems it stops with the first solution."
"So the set of integers is a subset of the real numbers.
A real number is a special case of a complex number, so the real numbers are a subset of the complex numbers.
And here's a concrete example, where I have a set of three things, 5, 7, and 3, and this is the set with just the element 3 in it.
Now, we sometimes are sloppy about distinguishing the element 3 from the set that's consisting of just 3 as its only element.
But in fact, it's a pretty important distinction to keep track of.
In this case, 3 is not a subset of this set on the right.","Why is null set IMPROPER subset of all set?
Aint u jus repeating what the professor saying? :) What I am not understanding why u don't care? What kinda weird messy explanation is this? ...One part is false then u don't look at other one and jus say the whole thing is true. That rule comes out from some sorta bible or what... that whatever written there is true? : I perfectly understand why a null set can be assumed a subset of every set without knowing all this mess... but this kinda explanation I don't understand. Do we devise things for easier explanation or to complicate things to nonsense level? Why don't just assume null set has null element (nothing) and so any other set can be assumed to contain that... no? Isnt that how we learned it in prep school? ... Now we doing higher maths and it all goes ZOOOMMMMM! :) Isnt x+ 0 = x? that we know since elementary times.....So can be set .... Any Set + null element = Any Set ... I mean this could be another way of seeing it. "
"PATRICK WINSTON: What kind of classes? STUDENT: Physics.
STUDENT: Thermodynamics.
PATRICK WINSTON: Thermodynamics! The thermodynamicists are good at measuring disorder, because that's what thermodynamics is all about.
Entropy increasing over time, and all that sort of stuff.
There's another equally good answer.
STUDENT: Statisticians? PATRICK WINSTON: Statisticians.
Perhaps, but it's not the second best answer.
It's actually not even the best answer.
That's the best answer.
What's your name? STUDENT: Leo.
PATRICK WINSTON: Oh, yeah.
[LAUGHTER] PATRICK WINSTON: Leonardo has got his finger on it.
The information theorists are pretty good at measuring disorder, because that's what information is all about, too.
So we might as well borrow a mechanism for measuring the disorder of a set from those information theory guys.
So what we're going to do is exactly that.
Let's put it over here, so we'll have it handy when we want to try to measure those things.
The gospel according to information theorists is that the disorder, D, or some set is equal to-- now let's suppose that this is a set of binary values.
So we have positives and then we have negatives.
Pluses and minuses.
But pluses, they don't go very well in an algebraic equation, because they might be confused with adding.",What is a PDA?
"So this is starting to look kind of familiar because it borrows from other data structures.
And what this is I'm just going to substitute log n for k, and I got this kind of scary looking-- I was scared the first time I saw this.
Oh, this is n.
It's the log n-th root of n, OK? And so it's kind of scary looking.
But what is the log n-th root of n-- and we can assume that n is a power of two? AUDIENCE: 2.
SRINIVAS DEVADAS: 2, exactly.
It's not that scary looking, and that's because I'm not a mathematician.
That's why I was scared.
So 2 log n.
All right.
So that's it.
So you get a sense of how this works now, right? We haven't talked about randomized structures yet, but I've given you the template that's associated with the skip list, which essentially says what I'm going to have are-- if it was static data items and n was a power of two, then essentially what I'm saying is I'm going to have a bunch of items, n items, at the bottom.",Any idea how can I understand how log n is derived?
"And we somehow want to fiddle them all to maximize the prediction of context words.
And so the way we kind of do that then is we use calculus.
So if what we want to do is take that math that we've seen previously and say, well with this objective function, we can work out derivatives and so we can work out where the gradient is.
So how we can walk downhill to minimize loss.
So we're at some point and we can figure out what is downhill, and we can then progressively walk downhill and improve our model.","It seems this course is theory based, where can I learn to code these concepts and algorithms?
Objective function seeks to maximise the probable likelihood of context word given center word. However should it also not try to minimise the probability of incorrect context words given center word?"
"o given the insights so far, let's now go and design the most powerful graph neural network.
So let's go and design the most expressive, uh, graph neural network.
And let's develop the theory that will allow us, uh, to do that.
So the key observation so far is that the expressive power of a graph neural network can be characterized by the expressive power of the neighborhood aggregation function they use.
Because the more expressive the neighborhood aggregation leads to a more expressive graph neural network.
And we saw that if the neighborhood aggregation is injective, this leads to the most expressive, uh, GNN.
A neighborhood aggregation being injective, it means that whatever is the number and the features of the- of the children, you- you map every different combination into a different output, so no information get- gets lost.
So let's do the following next, let's theoretically analyze the expressive power of different, uh, aggregation functions.",Are there applications where one would prefer GCNs or GraphSage over the most expressive GINs (Graph Isomorphism Networks)?
"You just have to remember what all the letters mean.
But not too hard.
So that's pretty much all the classes we'll be using.
There are a few others.
I'm sorry.
I'll give you one example to go with our other examples.
The problem we'll look at today is Rush Hour.
This is a one player puzzle, where you're trying to move the cars, and they could only go vertically or horizontally.
This is in PSPACE, which is maybe not so obvious.
And actually, it's PSPACE-complete.
So this is from the diagram, PSPACE-complete is harder than NP-complete.
Now of course, we don't actually know whether these two points are the same.
It's kind of annoying.",It seems that rush hour is also in NP. You can easily check if a sequence of moves are valid and does move the desired block. What am I missing?
"What I've down here by this process of sorting each column and finding the median of medians is that I found this median of medians such that there's a bunch of columns on the left.
And roughly half of those elements in those columns are less than x.
And there are a bunch of columns on the right.
And roughly half of those columns have elements that are greater than x.
So what I now have to do is to do a little bit of math to show you exactly what the recurrence is.
And let me do that over here.
So that's the last thing that we have to do.
I probably won't solve the recurrence, but that can wait until tomorrow.","In median of median do we sort the ""medians"" row too? if not how can we guarantee those picture?
Where did 7n+7/10 + 7 come from in the end?
So is he finding the median of medians using the same approach again?
If we have n/5 columns then to find the median of medians we'll have to call the Select function on the list of medians. We're basically computing 1 subproblem that is 1/5th the size of the original. Hence, the T(n/5) term for finding the median of medians."
"That's the dead horse we don't want to beat.
There's no point in doing that calculation, because it can't figure into the answer.
The development of the progressive deepening idea, I like to think of in terms of the martial arts principle, we're using the enemy's characteristics against them.
Because of this exponential blow-up, we have exactly the right characteristics to have a move available at every level as an insurance policy against not getting through to the next level.
And, finally, this whole idea of progressive deepening can be viewed as a prime example of what we like to call anytime algorithms that always have an answer ready to go as soon as an answer is demanded.","+Daniel Jones So it is like breadth first search in a way, right ?
what does he mean by martial art example? Using your opponents force against him"
"And then I can collect that connected component and continue.
We have to be a little bit careful because, of course, we don't want like, checking things-- something to be visited to somehow take a bunch of time and make my algorithm slower than it needs to be.
But of course, we have a set data structure that we know can do that and order one time at least in expectation.
OK.
So this is the full DFS algorithm.
It's really simple.
Of DFS because I called DGS on every vertex.
And it's full because I looped over all the vertices.
Right.
And so if we think about it, how much time does this algorithm take? It's little bit sneaky because somehow I have a for loop over all the vertices.","Help me out!!!! I have doubt on the efficiency of BFS : Is it O ( |E| ) or O ( |V| ) + O ( |E| ) ??? You proved ,' recursive neighbors are reachable' number of comparisons operation : = O(1) * |deg+(recursive neighbors)| = O ( |deg+(recursive neighbors)| ) setting parent operation : = O(1) *| recursive neighbors| = O (| recursive neighbors|) efficiency of BFS : = O ( |deg+(recursive neighbors)| ) + O (| recursive neighbors|) In the worst case , efficiency of BFS : = O ( |V| ) + O ( |E| ) when each vertex can reach every other vertices ."
"We can go to 8, 6 or 7 and we pick one of them at random and move there.
Um, and this process continues, let say for a- for a- in this case for a fixed, uh, number of steps.
So the way you can think of this is that we basically simulated this, uh, random walk over- over this graph and let's say, um, over our fixed, uh, number of steps where the random walk can traverse the same edge multiple times, can return, can go back and forth, do, uh, whatever the random walk, uh, wants to do.
All right.
And this random walk is a seq- sequence of nodes visited this way, uh, on a graph across the- across the edges.
So now how are we going to- to define this notion of similarity and these probabilities that we talked about? What we are going to do is to say we want to learn these coordinate z such that the product of two, uh, nodes u and v, um, is similar or equals is, uh, approximates the probability that u and v co-occur on a random walk, uh, over the graph.
So here is- here is the idea, right? First we will need to estimate the probability of visiting node v on a random walk starting, uh, at some node u using some, let's say, a random walk strategy R.","why should theta between embeddings be directly proportional to co-occurrence of the two nodes? shouldn't the embeddings be close together if the nodes co-occur often implying similarity, not further apart? shouldn't it be inversely proportional, i.e. the more times they occur on the same path the closer they are in angle? I must be missing something obvious here."
"We lose.
It doesn't help.
You think you can make it, but you can't.
STUDENT: You could actually construct it as a 3-D object, though.
PATRICK WINSTON: He thinks you can construct it as a 3-D object.
Let me show you the next example, Christopher.
Consider this example.
Can you make that? Your intuition is yes.
So let's label it.
Oh, I've already lost.
We just boost that up a little bit to make the situation more clear.
So already, I've got myself in a situation where I can't label that.
But you feel like you can make it.
So what's wrong? What's wrong is-- what, Elliott? STUDENT: You have an obscured-- or, we're presuming that we have an obscured [INAUDIBLE] alley from the upper-left corner to the [INAUDIBLE].","What's ""stuff of the object"" ? I hate it when people use vague terms"
"If we print the type of C, this is actually going to give us class main coordinate, which tells us that C is going to be an object that is of type class coordinate.
If we look at coordinate as a class, if we print what coordinate is, coordinate is a class, right? So this is what Python tells us, if we print coordinate, it's a class named coordinate.
And if we print the type of a coordinate, well that's just going to be a type.
So class is going to be a type.
So you're defining the type of an object.
If you'd like to figure out whether a particular object is an instance of a particular class, you use this special function called is instance.
So if you print is instance C comma coordinate, this is going to print true because C is an object that is of type coordinate.
Couple more words on these special operators.
So these special operators allow you to customize your classes which can add some cool functionality to them.
So these special operators are going to be things like addition, subtraction, using the equal equal sign, greater than, less than, length and so on and so on.
So just like str, if you implement any of these in your classes, this is going to tell Python.
So for example, if we've implemented this underscore, underscore, add, underscore, underscore in our class, this is going to tell Python when you use this plus operator between two objects of type coordinate to call this method.
If you have not implemented this method and you try to add two objects of type coordinate, you're going to get an error because Python doesn't actually know right off the bat how to add two coordinate objects, right? You have to tell it how to do that.","What makes special operators special; I mean we can define them normally, right?
Will 'return' work instead of '__str__' ?
I understand what classes are.But what are the use of classes? What are the things that can be done in class but not in a normal function?
I get the idea but why and when do we should use OOP. Why don't we just use the existent classes such as tuples, lists, dictionaries? Any examples for comparision between normal programming and OOP?
Nice ! extremely grateful learn from anna ma'am. Well I have questions( time-----24.11) what is guarantee that use will provide X,Y in distance(self,other) for OTHER parameter.how he/she even know this ? Definitely One way by documentation but any other way .?"
"It says my problem is at least as hard as sorting.
But I already know how to solve sorting.
But if I start from an NP-complete problem, then I know, by the definition, that every problem in NP can be reduced to that problem.
And if I show how to reduce the NP-complete problem to me, then I know that I'm NP-complete too.
Because if I have any problem Z in NP, by the definition of NP-complete of Y I can reduce that to Y.
And then if I can build a reduction from Y to X, then I get this reduction.
And so that means I can convert any problem in NP to my problem X, which means X is NP-hard.
That's the definition.
So all this is to say the first time you prove a problem is NP-complete in the world-- this happened in the '70s by Cook.
Basically he proved that 3SAT is NP-complete.
That was annoying, because he had to start from any problem in NP, and he had to show that you could reduce any problem in NP to 3SAT.
But now that that hard work is done, our life is much easier.
And in this class all you need to think about is picking your favorite NP-complete problem.","can someone tell me at which point he proves that 3dm is np complete... and what is the proof exactly?
If we can't prove P = NP, can we prove P < NP?
Q on proving NP-completeness: if X is NP-Complete it belongs to both NP and NP-hard I understand that you have to show that X belongs to both sets. But if you have a reference NP-complete problem like 3SAT wouldn't it suffice to show that 3SAT is reducible to X? Why do you need step 1?
I believe the second statement in lecture is incorrect. It should be the other way around: if A is in NP, then B is in NP, because reduction implies that for A->B, A is at most as difficult as B. Otherwise, we can always convert from A to B and then solve it. As a result, this shows that if A is in NP, then it will not be P, which implies B will be in NP as well. In the meantime, I do not believe the second state: ""if B is in NP, then A is in NP"" is correct because I can easily reduce a polynomial time algorithm to a NP problem such as MBM into MVC.
If problem A can be converted to problem B(which is NP complete) in polynomial time then, what can we say about problem A? Is problem A, NP then? I think that nothing can be said about A. Can someone please confirm?
First of all, if we can reduce problem A to B, it means B is not easier than A. If as you said ""If A is in NP"", then we cannot say anything about B since B could be NP or NP-hard. Further, P is a subset of NP. if B is NP, then A could be P or NP. Therefore, it is still correct to say A is in NP. If B is P, then we know A must be P too. The whole point is that B is the upper bound of A. It is meaningless to say ""if A is xxx, then B is xxx , since B can be anything harder than A. If we say ""if B is xxx, then A is xxx"", this is meaningful as we know the worst case complexity for A. This is what the professor wrote.
It depends. If B is P, then most certainly A is P. If B is NP, then we can relax and say A is at most NP, even when A in truth is P, given P is a subset of NP (we can reduce P to NP). It gets tricky though when B is NP-complete. If B is NP-complete and A could be reduced to B, shouldn't that mean A is both NP and NP-hard and therefore, NP-complete? And isn't that why, in order to prove the completeness of A, we first ensure A is NP and then try to reduce a problem Z which is NP-complete to A (essentially declaring that A is either equal to or harder than Z, i.e. NP-hard)? Now, if B is NP-hard and one can reduce A to B, only here we cannot say what exactly A is, i.e., A could either be NP or NP-hard or both (NP-complete). Please correct me (with explanation) if I am wrong.
How does he conclude that rectangle packing is weakly NP-Hard? In general, Im a little confused about how hes concluding NP strength/if/how its transferred with reductions. It makes sense to me how he showed subset sum to be weakly NP-hard, and maybe why partition was also therefore weak (because it is reducible to finding a subset sum of t?). It would make sense to me that any time you can reduce a problem A to a weakly NP-Hard problem B, that you could conclude that A must not be strongly NP-Hard (and that if A is NP-hard it must be weakly so). However, with rectangle packing we only did the one way reduction from partition to it. This doesnt by itself guarantee that rectangle packing is weakly NP-Hard, does it? That is reducing a weakly NP-Hard problem A to some other problem B doesnt guarantee that B is also weakly NP hard, does it? Otherwise every NP-Complete problem would be weakly NP hard, because some weakly NP Hard problem reduces to it, and clearly some NP-Complete problems are strong NP-Hard. Now that I think back on it, an NP-Hard A > weakly NP-Hard B reduction also doesnt seem to imply that A is weakly NP-Hard, because any weakly NP-Hard problem being NP-Complete would imply all NP-Complete problems were weak, another contradiction. So how is he determining strength or weakness of these problems? Is it something Im missing or just a detail hes glossing over?
I can't fully understand that the professor stated that ""X is NP-hard if every problem y  NP reduces to X"". Doesn't it mean that a problem(NP) would then reduce to a harder problem(NP-hard)? How should I interpret it? Thanks!
Wait, so you are proving not that the game super mario is NP-hard but that you can construct NP-hard levels in mario? The fact that people have said Super Mario is NP-hard has always confused me.
As far as I understood. 1) If B is in P, then A is also in P : This is saying that if problem A can be converted to problem B in poly-time and if problem B can be solved in poly-time then it follows that you can also solve A in poly-time. 2) If B is in NP, then A is also in NP: This is saying that if problem A can be converted to problem B in poly-time and if problem B belongs to NP i.e. its solution can be verified in poly-time, then A must also belong to NP. This doesn't mean that A cannot be faster than NP. Problem A could belong to P while also belonging to NP, as P is in NP.
Note that P is a subset of NP, not the complement of NP. Thus the contrapositive would be (A not in P) -> (B not in P), not what was claimed above. If we think of the difficulty graph illustrated by the presenter, then problem A reduces to problem B amounts to A is at or to the left of B. So (B in NP) -> (A in NP) is accurate.
If we have a problem A that is in NP and we reduce it to B then we know that B is NP. if we dont know if A is NP and we know that B is in NP are we sure that A is in NP?Could'nt be an algorithm that do not use this reduction but solves the A problem? is the second statement in https://youtu.be/eHZifpgyH_4?t=1426 correct?
Could someone please help me understand what did he mean by, ""Computer would guess an option from polynomially many options""? I am not able to think(and relate) of an example when an algorithm guesses while solving a decision-based problem. e.g. while determining a chess move. His next statement only adds to my confusion, ""The guess is guaranteed to be a good one"" :(
Reduction ... Time point https://youtu.be/eHZifpgyH_4?t=22m28s . Chalkboard writing .. then A element of P ... seems to disagree with the notes from the MIT site ... which is written A element of NP ... . Are the notes incorrect?
Whether something is in P or NP, that something must be a decision problem. It does not make sense to talk about whether an algo is in P or NP. For example, we can talk about the problem ""Is 73642387 a prime?"" and ask whether it's in P or NP. However, we can't talk about whether a MergeSort algo is in P or NP becus it's an algo, not a decision problem. Here's an explanation by Alon Amit regarding this confusion: https://www.quora.com/Is-finding-prime-numbers-in-P-or-NP Hope this helps :)"
"If delta s,v equals minus infinity-- so I guess this is, run single source shortest paths from s.
And really, because this graph could contain negative edge weights and could contain negative cycles, we can't really do better than running Bellman-Ford here from s to compute these paths.
If there exists in this new graph this Gs, if there exists a vertex that has negative infinite weight in the reweighted graph-- sorry, in the original graph G-- G hasn't been reweighted yet.
If there's a negative weight distance from s, then there was a negative weight cycle in the original graph.
Why is that? Well, if this was set to minus infinity, then there is some negative weight cycle in the graph.","doesn't connecting all vertices in V to a supernode s with 0 weight edges makes all delta(s, v) to 0, (and makes all h(v) = 0)? Or is the s in the Johnson's algorithm another s different from the supernode"
"And it is because what I do to this pin doesn't depend too much to what I do to a pin much later.
There's a lot of intuition going on here for what-- when DP works.
But we're going to see a lot more examples of that coming up.
And I just want to mention the intuition for how to write a recurrence like this is to think about-- in the case of suffixes, you always want to think about the first item, or maybe the first couple of items.
The case of prefixes, you always think about the last item.
And for substrings, it could be any item-- maybe in the middle.
If I remove an item from the middle of a substring, I get two substrings, so I can recurse.
Here or in general, what we want to do is identify some feature of the solution that if we knew that feature we would be done.
We would reduce to a smaller sub problem.
In this case, we just say, well, what are the possible things I could do to the first pin? There are three options.
If I knew which option it was, I would be done.
I could recurse and do my addition.
Now, I don't know which thing I want to do.
So I just try them all and take the max.
And if you're maximizing, you take the max.
If you're minimizing, you take the min.","Question: is the proposed algorithm optimal when pins are -1,-1,-9,1? In the first step it will choose to hit first and second pins -1 and -1. On the second step the algorithm will choose to skip -9. On the third step the algorithm will hit 1. Overall score will be 2 if we use the algorithm. But optimal solution is to hit the second and the third pins -1 and -9, and then hit the last, so the score would be 10. Or I misunderstood something?"
"So what happens here? So let's analyze this to make sure that we're good in terms of an improvement.
We have to be careful.
So let's just arbitrarily say that it broke at 64, because that's kind of what happened over in that previous algorithm too.
So that means I've done four drops without a break.
I'm sorry, four drops.
Three drops without a break and four drops total.
So I've done four drops.
But now the cool thing is I don't have to start from 16.
I know it didn't break at 48.
So I can now look at four drops till break of first ball.
That is what I wanted to say.
And now, I can look at the interval 49.
Because 48, it did not break-- 49 to 63, inclusive.
And so if you do that, that's 15.
It's 15.
The difference is 14, but it's inclusive, so it's 15.
So 15 plus 4, that is 19 drops.
Yeah.
Back there.
AUDIENCE: Wouldn't the worst case though be when it's at 127.
SRINI DEVADAS: Yes, that's absolutely correct.
So 19 is not the worst case.
I mean it's looking good, but this was exactly the point I was trying to make right from the beginning.
You are not done yet.
I mean, you cannot just go off and say that 19 is the worst case for this algorithm.
The worst case for this algorithm-- this particular algorithm occurs at a different point from the original algorithm that went midway.
Every algorithm is different.
The parameters are different here.
And so I'm just calling a different algorithm.
But the case that would happen is I guess you would have 112 here.
And then you'd go 1, 2, so how many? So let's say it gets to 128.
And if it doesn't break, then you're clearly done.
So that's not the worst case.
So if it gets to 128 and it breaks, then so how many drops have we done? 128 divided 16 is what? Is 8.","What is the worst case if you have 128 balls?
How is binary search not the answer??? Drop a ball at 64. If it breaks, drop a ball at 32. If it doesn't break drop a ball at 96. Is it a rule that you have to pick an interval k? If so, I didn't pick up on that. With binary search, it the maximum drops would be log base 2 of n + 1. That would be 8 in the case of 128."
"The basic idea here is that if I take the k-th vertex in the topological order, assuming that these distances are all equal for the ones before me in the topological order, I can prove by induction.
We can consider a shortest path from s to v, the k-th vertex, and look at the vertex preceding me along the shortest path.
That vertex better be before me in the topological order or we're not a DAG.
And we've already set its shortest path distance to be equal to the correct thing by induction.
So then when we processed u-- s to u to v-- when we processed u in DAG relaxation here, processed the vertex and looked at all its outgoing adjacencies, we would have relaxed this edge to be no greater than that shortest path distance.
So this is correct.
You can also think of it as the DAG relaxation algorithm for each vertex looks all at its incoming neighbors, assuming that their shortest path distances are computed correctly already.
Any shortest path distance to me needs to be composed of a shortest path distance to one of my incoming neighbors through an edge to me, so I can just check all of them.","great lecture, thanks mit! I have a doubt, in the dag relaxation algo we init the distance estimate from the source to the source equal to 0, but the professor said that this value could negative or -infinity, however that can occur when the graph has a negative cycle, given that the graph is a DAG then the shortest path distance from the source to the source has to be 0 because DAG has no cycles
but I think d(s,v)>delta(s,u)+w(u,v) can be correct if vertex u comes before v in topological order.because d(s,u) is the same as delta(s,u) as there is no subroute that can reach vertex u from vertex s going through any vertex that come after u in the topological order. am I right?"
"But of course, once you go to n sequences, you can't afford this.
You would an n to the n behavior, so that's a limit to how far you could go.
Two sequences is fine, three sequences is fine, but n sequences-- there probably is no polynomial time algorithm for this problem.
Cool-- I want to show you an example.
I have an example here.
I didn't want to try out hieroglyphology versus Michelangelo, so I came up with another example.
Their habit is to say hi.
So the longest common subsequence of there and habit is HI.
And it's a giant-- well, not that giant-- it looks kind of like a grid graph.
The base cases are out here, because those correspond-- each of these nodes is a subproblem, and this corresponds to, what is the longest common subsequence between EIR and ABIT? And it should be I.
It's the only letter they have in common, and that's why there's a 1 here to say that the longest common subsequence has a 1-- has size 1.",Hard time understanding relation between graphs and answer of problems
"Linear time to do an insertion is clearly bad.
This is all during one insertion operation that this would happen, but overall it's not going to be bad, because you only double log n times.
And if you look at the total cost-- so maybe you think, oh, is it log n per operation, but it's not so bad because total cost for n insertions starting from an empty structure is something like 2 to the 0-- this is a big theta outside-- 2 to the 1, 2 to the 2.
If we're only doing insertions, this is great.
2 to the log n.
This is a geometric series and so this is order n.
Theta head I guess.
So to do n insertions, cost theta n, so we'd like to say the amortized cost per operation is constant, because we did n operations.
Total cost was n, so sort of on average per operation, that was the only constant.
So this is the sense in which hash tables are constant, expected, amortized.","I was wondering about that. In his analysis table doubling would have increased the runtime complexity, this makes more sense."
"And now, right, I- basically the idea is that now I can go and update the summaries because some labels might have changed.
I update the summary and reapply the Phi 2 predictor- Phi 2 classifier.
And I keep doing this, basically reclassifying nodes with Phi 2 until the process converges.
Right? So I'll be updating this until- until the label prediction stabilize.
I think because if our prediction for a given node changes, then its vector z is also going to change.
And if the vector z is going- changes then the- I have to apply the predictor Phi 2 to update the belief or the prediction about the label of a given node.
And I keep iterating this until the process stabilized, right? So here the prediction for this node flipped from 0 to 1.
Now this vectors z have changed, have been updated.
So I have to re-update my classifier Phi 2 again over all these nodes.
And I keep doing this until the process converges meaning until no node labels change, or until some maximum number of iterations is reached.
And that is essentially the idea of what we are trying to do here and how do we arrive to the final prediction.
So to summarize, so far, we have talked about two approaches to collective classification.
First, we talked about relational classification, where we are iteratively updating probabilities of nodes belonging to a labeled class based on the labels of its neighbors.","What is the point on the feature-only classifier phi-1 ? Professor never explained this. Just train one model, Phi-2, which uses features and neighbors and use regularization. One model is enough. Use XG-Boost. You don't even need to iterate. Train on the known labels and predict on the unknown. I believe that a data scientist would never do this method because it is so unnecessary with extra programming work for no benefit.
Thank you for the lecture! I haven't come across methods such as Iterative classification before. The idea - using a separately trained classifier in an iterative non-trainable process - sounds a bit unnatural to me. My intuition tells me it's better to train the classifier inside each iteration, thus making the iterative process trainable. I suppose, that's when is going to happen in GNNs. A couple of comments about the training set. We don't need any graph structure to train phi1 classifier, therefore it can be done with traditional methods. In order to train phi2 classifier, we need labeled nodes that have all their neighbours also labeled - that's necessary to set z_v. We don't necessary need to split all graphs into training and test sets. Instead, for phi2 training we can use all the nodes with mentioned property - as it's not going to be evaluated during the iterative stage anyway (as the labels are known - and thus 'converged' already).
phi1 is required at iteration 0 to create the initial labels at inference. In later iterations, only phi-2 is needed."
"So, let's carry on and see if we can complete this equal to or less than 8, equal to 8, equal to 8-- because the other branch doesn't even exist-- equal to or less than 8.
And we compare these two numbers, do we keep going? Yes, we keep going.
Because maybe the maximizer can go to the right and actually get to that 8.
So, we have to go over here and keep working away.
There's a nine, equal to or less than 9, another 9 equal to 9.
Push that number up equal to or greater than 9.
The minimizer gets an 8 going this way.
The maximizer is insured of getting a 9 going that way.
So, once again, we've got a cut off situation.
It's as if this doesn't exist.
Those static evaluations are not made.","I have a few questions. The first one is, is Minimax considered as a state space search? If it is is there a Goal state/node?
I find something here about alpha & betha, what if we're changing the position between 3 and 9 on the left tree...then the first cut off wouldn't happen... so the interesting thing is the alpha betha depended on the evaluation method... For example if you're doing evaluation from the right position so the cut-off will be different :D ... anyway thank you for the explanation... it's really clear
I got thrown off a little on the alpha beta part. So at each level we when we make comparisons do we look at the values from both the min and max perspective?"
"And you can build a tree that's as simple as possible if you look at the data, and say, well, which test does the best job of splitting things up? Which test does the best job of building subsets underneath it that are as homogeneous as possible? So all this information theory, all this entropy stuff, is just a convenient mechanism for doing something that is intuitionally sound.
OK? It's not about information theory.
It's about a sound intuition.
Oh, by the way.
Does this kind of stuff ever get used in practice? 10s of thousands of times.
This is a winning mechanism that's used over and over again, even when the data is numeric.
How would it work if it's numeric data? Well, let's think about that for a little bit.
So let's suppose that we have an opportunity.
We're an EMT or something, we work in the infirmary.
What do they call it these days? Something else.
But anyhow, you work in that kind of area, and you have the opportunity to take people's temperature.
And so over time, you've accumulated some data on the temperature of people.
And maybe you've found that there's a vampire here at about 102.
There's a normal person here, about 98.6.
But then they're scattered around.
Some people have fevers when they come in.
So the question is, is there a way of using numerical data-- things that you can put real numbers-- is there a way of using that with this mechanism? And the answer is yes.
You just say, is the temperature greater than or less than some threshold? And that gives you a test, a binary test, just like any of these other tests.
[? Krishna? ?] Right? But where would I put the threshold? I suppose I could just put it at the average value.",Why does he make the difference between Identification tree and decision tree?
"But the comma here makes it clear to Python that this is a tuple with only one element in it.
We can slice even further to get a tuple with two elements.
And we can do the usual operations like get the length of a tuple, which says, how many elements are in my tuple? And len of this t would evaluate to 3, because there are three elements inside the tuple.
Each element, again, separated by the comma.
And just like strings, if we try to change a value inside the tuple-- in this case, I wanted to try to change the value of the second element to 4-- Python doesn't allow that, because tuples are immutable.","I have a confusion, If tuples are immutable how does nums = nums + (t[0],) work?
it's concatenating an empty tuple to a singleton tuple (and on and on as the for loop runs). Consider; nums = 'walk' nums = nums + 'ing' print(nums) will output walking. 'Walk' and 'ing' are immutable as strings, but they can be concatenated together. In the same way a tuple can be concatenated to a tuple. nums = (1,2) nums = nums + (3,4) print(nums) will output (1, 2, 3, 4) What it's not doing is changing an element within a tuple, as tuples are immutable.
I am curious as to the advantage of using a tuple over a list. It seems as though lists have the exact same functionality as tuples but with the added advantage of you being able to modify them(mutability) if you so choose to. Why not just alway use lists?"
